"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2012","Finland","Total","From 15 to 64 years","Total","Percentage","75.2"
"2012","United Kingdom","Total","From 15 to 64 years","Total","Percentage","76.1"
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","77.6"
"2013","Spain","Total","From 15 to 64 years","Total","Percentage","74.3"
"2013","France","Total","From 15 to 64 years","Total","Percentage","71.1"
"2013","Italy","Total","From 15 to 64 years","Total","Percentage","63.4"
"2013","Portugal","Total","From 15 to 64 years","Total","Percentage","73.0"
"2013","Finland","Total","From 15 to 64 years","Total","Percentage","75.2"
"2013","United Kingdom","Total","From 15 to 64 years","Total","Percentage","76.4"
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","77.7"
"2014","Spain","Total","From 15 to 64 years","Total","Percentage","74.2"
"2014","France","Total","From 15 to 64 years","Total","Percentage","71.0"
"2014","Italy","Total","From 15 to 64 years","Total","Percentage","63.9"
"2014","Portugal","Total","From 15 to 64 years","Total","Percentage","73.2"
"2014","Finland","Total","From 15 to 64 years","Total","Percentage","75.4"
"2014","United Kingdom","Total","From 15 to 64 years","Total","Percentage","76.7"
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","77.6"
"2015","Spain","Total","From 15 to 64 years","Total","Percentage","74.3"
"2015","France","Total","From 15 to 64 years","Total","Percentage","71.3"
"2015","Italy","Total","From 15 to 64 years","Total","Percentage","64.0"
"2015","Portugal","Total","From 15 to 64 years","Total","Percentage","73.4"
"2015","Finland","Total","From 15 to 64 years","Total","Percentage","75.8"
"2015","United Kingdom","Total","From 15 to 64 years","Total","Percentage","76.9"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","77.9"
"2016","Spain","Total","From 15 to 64 years","Total","Percentage","74.2"
"2016","France","Total","From 15 to 64 years","Total","Percentage","71.4"
"2016","Italy","Total","From 15 to 64 years","Total","Percentage","64.9"
"2016","Portugal","Total","From 15 to 64 years","Total","Percentage","73.7"
"2016","Finland","Total","From 15 to 64 years","Total","Percentage","75.9"
"2016","United Kingdom","Total","From 15 to 64 years","Total","Percentage","77.3"
"2017","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","78.2"
"2017","Spain","Total","From 15 to 64 years","Total","Percentage","73.9"
"2017","France","Total","From 15 to 64 years","Total","Percentage","71.5"
"2017","Italy","Total","From 15 to 64 years","Total","Percentage","65.4"
"2017","Portugal","Total","From 15 to 64 years","Total","Percentage","74.7"
"2017","Finland","Total","From 15 to 64 years","Total","Percentage","76.7"
"2017","United Kingdom","Total","From 15 to 64 years","Total","Percentage","77.6"
"2018","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","78.6"
"2018","Spain","Total","From 15 to 64 years","Total","Percentage","73.7"
"2018","France","Total","From 15 to 64 years","Total","Percentage","71.9"
"2018","Italy","Total","From 15 to 64 years","Total","Percentage","65.6"
"2018","Portugal","Total","From 15 to 64 years","Total","Percentage","75.1"
"2018","Finland","Total","From 15 to 64 years","Total","Percentage","77.9"
"2018","United Kingdom","Total","From 15 to 64 years","Total","Percentage","77.9"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","79.2"
"2019","Spain","Total","From 15 to 64 years","Total","Percentage","73.8"
"2019","France","Total","From 15 to 64 years","Total","Percentage","71.7"
"2019","Italy","Total","From 15 to 64 years","Total","Percentage","65.7"
"2019","Portugal","Total","From 15 to 64 years","Total","Percentage","75.5"
"2019","Finland","Total","From 15 to 64 years","Total","Percentage","78.3"
"2019","United Kingdom","Total","From 15 to 64 years","Total","Percentage","78.1"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","79.2"
"2020","Spain","Total","From 15 to 64 years","Total","Percentage","72.2"
"2020","France","Total","From 15 to 64 years","Total","Percentage","71.0"
"2020","Italy","Total","From 15 to 64 years","Total","Percentage","64.1"
"2020","Portugal","Total","From 15 to 64 years","Total","Percentage","74.3"
"2020","Finland","Total","From 15 to 64 years","Total","Percentage","78.3"
"2020","United Kingdom","Total","From 15 to 64 years","Total","Percentage",":"
