"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2007","Portugal","Total","From 15 to 64 years","Total","Percentage","67.6"
"2007","Finland","Total","From 15 to 64 years","Total","Percentage","70.3"
"2007","United Kingdom","Total","From 15 to 64 years","Total","Percentage","71.5"
"2008","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","70.1"
"2008","Spain","Total","From 15 to 64 years","Total","Percentage","64.5"
"2008","France","Total","From 15 to 64 years","Total","Percentage","64.9"
"2008","Italy","Total","From 15 to 64 years","Total","Percentage","58.6"
"2008","Portugal","Total","From 15 to 64 years","Total","Percentage","68.0"
"2008","Finland","Total","From 15 to 64 years","Total","Percentage","71.1"
"2008","United Kingdom","Total","From 15 to 64 years","Total","Percentage","71.5"
"2009","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","70.3"
"2009","Spain","Total","From 15 to 64 years","Total","Percentage","60.0"
"2009","France","Total","From 15 to 64 years","Total","Percentage","64.1"
"2009","Italy","Total","From 15 to 64 years","Total","Percentage","57.4"
"2009","Portugal","Total","From 15 to 64 years","Total","Percentage","66.1"
"2009","Finland","Total","From 15 to 64 years","Total","Percentage","68.7"
"2009","United Kingdom","Total","From 15 to 64 years","Total","Percentage","69.9"
"2010","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","71.3"
"2010","Spain","Total","From 15 to 64 years","Total","Percentage","58.8"
"2010","France","Total","From 15 to 64 years","Total","Percentage","64.0"
"2010","Italy","Total","From 15 to 64 years","Total","Percentage","56.8"
"2010","Portugal","Total","From 15 to 64 years","Total","Percentage","65.3"
"2010","Finland","Total","From 15 to 64 years","Total","Percentage","68.1"
"2010","United Kingdom","Total","From 15 to 64 years","Total","Percentage","69.4"
"2011","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","72.7"
"2011","Spain","Total","From 15 to 64 years","Total","Percentage","58.0"
"2011","France","Total","From 15 to 64 years","Total","Percentage","63.9"
"2011","Italy","Total","From 15 to 64 years","Total","Percentage","56.8"
"2011","Portugal","Total","From 15 to 64 years","Total","Percentage","63.8"
"2011","Finland","Total","From 15 to 64 years","Total","Percentage","69.0"
"2011","United Kingdom","Total","From 15 to 64 years","Total","Percentage","69.3"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.0"
"2012","Spain","Total","From 15 to 64 years","Total","Percentage","55.8"
"2012","France","Total","From 15 to 64 years","Total","Percentage","64.0"
"2012","Italy","Total","From 15 to 64 years","Total","Percentage","56.6"
"2012","Portugal","Total","From 15 to 64 years","Total","Percentage","61.4"
"2012","Finland","Total","From 15 to 64 years","Total","Percentage","69.4"
"2012","United Kingdom","Total","From 15 to 64 years","Total","Percentage","69.9"
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.5"
"2013","Spain","Total","From 15 to 64 years","Total","Percentage","54.8"
"2013","France","Total","From 15 to 64 years","Total","Percentage","64.0"
"2013","Italy","Total","From 15 to 64 years","Total","Percentage","55.5"
"2013","Portugal","Total","From 15 to 64 years","Total","Percentage","60.6"
"2013","Finland","Total","From 15 to 64 years","Total","Percentage","68.9"
"2013","United Kingdom","Total","From 15 to 64 years","Total","Percentage","70.5"
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.8"
"2014","Spain","Total","From 15 to 64 years","Total","Percentage","56.0"
"2014","France","Total","From 15 to 64 years","Total","Percentage","63.7"
"2014","Italy","Total","From 15 to 64 years","Total","Percentage","55.7"
"2014","Portugal","Total","From 15 to 64 years","Total","Percentage","62.6"
"2014","Finland","Total","From 15 to 64 years","Total","Percentage","68.7"
"2014","United Kingdom","Total","From 15 to 64 years","Total","Percentage","71.9"
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","74.0"
"2015","Spain","Total","From 15 to 64 years","Total","Percentage","57.8"
"2015","France","Total","From 15 to 64 years","Total","Percentage","63.8"
"2015","Italy","Total","From 15 to 64 years","Total","Percentage","56.3"
"2015","Portugal","Total","From 15 to 64 years","Total","Percentage","63.9"
"2015","Finland","Total","From 15 to 64 years","Total","Percentage","68.5"
"2015","United Kingdom","Total","From 15 to 64 years","Total","Percentage","72.7"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","74.7"
"2016","Spain","Total","From 15 to 64 years","Total","Percentage","59.5"
"2016","France","Total","From 15 to 64 years","Total","Percentage","64.2"
"2016","Italy","Total","From 15 to 64 years","Total","Percentage","57.2"
"2016","Portugal","Total","From 15 to 64 years","Total","Percentage","65.2"
"2016","Finland","Total","From 15 to 64 years","Total","Percentage","69.1"
"2016","United Kingdom","Total","From 15 to 64 years","Total","Percentage","73.5"
"2017","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","75.2"
"2017","Spain","Total","From 15 to 64 years","Total","Percentage","61.1"
"2017","France","Total","From 15 to 64 years","Total","Percentage","64.7"
"2017","Italy","Total","From 15 to 64 years","Total","Percentage","58.0"
"2017","Portugal","Total","From 15 to 64 years","Total","Percentage","67.8"
"2017","Finland","Total","From 15 to 64 years","Total","Percentage","70.0"
"2017","United Kingdom","Total","From 15 to 64 years","Total","Percentage","74.1"
"2018","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","75.9"
"2018","Spain","Total","From 15 to 64 years","Total","Percentage","62.4"
"2018","France","Total","From 15 to 64 years","Total","Percentage","65.3"
"2018","Italy","Total","From 15 to 64 years","Total","Percentage","58.5"
"2018","Portugal","Total","From 15 to 64 years","Total","Percentage","69.7"
"2018","Finland","Total","From 15 to 64 years","Total","Percentage","72.1"
"2018","United Kingdom","Total","From 15 to 64 years","Total","Percentage","74.7"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","76.7"
"2019","Spain","Total","From 15 to 64 years","Total","Percentage","63.3"
"2019","France","Total","From 15 to 64 years","Total","Percentage","65.6"
"2019","Italy","Total","From 15 to 64 years","Total","Percentage","59.0"
"2019","Portugal","Total","From 15 to 64 years","Total","Percentage","70.5"
"2019","Finland","Total","From 15 to 64 years","Total","Percentage","72.9"
"2019","United Kingdom","Total","From 15 to 64 years","Total","Percentage","75.2"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","76.2"
"2020","Spain","Total","From 15 to 64 years","Total","Percentage","60.9"
"2020","France","Total","From 15 to 64 years","Total","Percentage","65.3"
"2020","Italy","Total","From 15 to 64 years","Total","Percentage","58.1"
"2020","Portugal","Total","From 15 to 64 years","Total","Percentage","69.0"
"2020","Finland","Total","From 15 to 64 years","Total","Percentage","72.1"
"2020","United Kingdom","Total","From 15 to 64 years","Total","Percentage",":"
