"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2012","Finland","Total","From 15 to 64 years","Total","Percentage","7.8"
"2012","United Kingdom","Total","From 15 to 64 years","Total","Percentage","8.1"
"2013","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","5.3"
"2013","Spain","Total","From 15 to 64 years","Total","Percentage","26.2"
"2013","France","Total","From 15 to 64 years","Total","Percentage","10.0"
"2013","Italy","Total","From 15 to 64 years","Total","Percentage","12.3"
"2013","Portugal","Total","From 15 to 64 years","Total","Percentage","17.0"
"2013","Finland","Total","From 15 to 64 years","Total","Percentage","8.3"
"2013","United Kingdom","Total","From 15 to 64 years","Total","Percentage","7.7"
"2014","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","5.1"
"2014","Spain","Total","From 15 to 64 years","Total","Percentage","24.6"
"2014","France","Total","From 15 to 64 years","Total","Percentage","10.3"
"2014","Italy","Total","From 15 to 64 years","Total","Percentage","12.9"
"2014","Portugal","Total","From 15 to 64 years","Total","Percentage","14.5"
"2014","Finland","Total","From 15 to 64 years","Total","Percentage","8.8"
"2014","United Kingdom","Total","From 15 to 64 years","Total","Percentage","6.3"
"2015","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","4.7"
"2015","Spain","Total","From 15 to 64 years","Total","Percentage","22.2"
"2015","France","Total","From 15 to 64 years","Total","Percentage","10.4"
"2015","Italy","Total","From 15 to 64 years","Total","Percentage","12.1"
"2015","Portugal","Total","From 15 to 64 years","Total","Percentage","12.9"
"2015","Finland","Total","From 15 to 64 years","Total","Percentage","9.6"
"2015","United Kingdom","Total","From 15 to 64 years","Total","Percentage","5.4"
"2016","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","4.2"
"2016","Spain","Total","From 15 to 64 years","Total","Percentage","19.7"
"2016","France","Total","From 15 to 64 years","Total","Percentage","10.1"
"2016","Italy","Total","From 15 to 64 years","Total","Percentage","11.9"
"2016","Portugal","Total","From 15 to 64 years","Total","Percentage","11.5"
"2016","Finland","Total","From 15 to 64 years","Total","Percentage","9.0"
"2016","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.9"
"2017","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","3.8"
"2017","Spain","Total","From 15 to 64 years","Total","Percentage","17.3"
"2017","France","Total","From 15 to 64 years","Total","Percentage","9.5"
"2017","Italy","Total","From 15 to 64 years","Total","Percentage","11.4"
"2017","Portugal","Total","From 15 to 64 years","Total","Percentage","9.2"
"2017","Finland","Total","From 15 to 64 years","Total","Percentage","8.8"
"2017","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.4"
"2018","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","3.5"
"2018","Spain","Total","From 15 to 64 years","Total","Percentage","15.4"
"2018","France","Total","From 15 to 64 years","Total","Percentage","9.1"
"2018","Italy","Total","From 15 to 64 years","Total","Percentage","10.8"
"2018","Portugal","Total","From 15 to 64 years","Total","Percentage","7.3"
"2018","Finland","Total","From 15 to 64 years","Total","Percentage","7.5"
"2018","United Kingdom","Total","From 15 to 64 years","Total","Percentage","4.1"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","3.2"
"2019","Spain","Total","From 15 to 64 years","Total","Percentage","14.2"
"2019","France","Total","From 15 to 64 years","Total","Percentage","8.5"
"2019","Italy","Total","From 15 to 64 years","Total","Percentage","10.2"
"2019","Portugal","Total","From 15 to 64 years","Total","Percentage","6.7"
"2019","Finland","Total","From 15 to 64 years","Total","Percentage","6.8"
"2019","United Kingdom","Total","From 15 to 64 years","Total","Percentage","3.8"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","3.9"
"2020","Spain","Total","From 15 to 64 years","Total","Percentage","15.6"
"2020","France","Total","From 15 to 64 years","Total","Percentage","8.1"
"2020","Italy","Total","From 15 to 64 years","Total","Percentage","9.4"
"2020","Portugal","Total","From 15 to 64 years","Total","Percentage","7.1"
"2020","Finland","Total","From 15 to 64 years","Total","Percentage","7.9"
"2020","United Kingdom","Total","From 15 to 64 years","Total","Percentage",":"
